id;fintech_name;agreement_date;fldg_perecentage;guarantee_type;guarantee_details;agreement_no;date_created;created_by_id;date_updated;updated_by_id
1;Views e-enable Communications;2023-09-15T08:56:24;92187;Awesome;Aruba;software scale interactive;2023-09-15T06:30:17;58675;2023-09-15T17:49:56;96525
2;Home Loan Account;2023-09-15T19:46:14;14092;back-end;Industrial;index orange;2023-09-16T02:15:42;1407;2023-09-15T06:49:25;19884
3;monitor 1080p Checking Account;2023-09-15T04:09:48;35846;Frozen IB;Highway Ergonomic;moratorium moratorium;2023-09-15T08:53:02;59129;2023-09-15T11:05:35;27472
4;Mississippi embrace Developer;2023-09-15T06:01:14;76078;Idaho compress Avon;system Small;Intelligent Outdoors;2023-09-15T11:07:14;47537;2023-09-15T18:51:00;56327
5;European Unit of Account 9(E.U.A.-9) Concrete;2023-09-15T11:53:19;41038;override User-centric;Money Market Account;Salad Web virtual;2023-09-15T11:11:34;10549;2023-09-15T05:28:46;45653
6;mint green e-business EXE;2023-09-15T18:36:37;80744;National;Direct;Profit-focused;2023-09-15T16:08:38;52;2023-09-15T06:45:44;35256
7;ability Hat Iraq;2023-09-15T14:45:31;22210;Concrete 24/7 Directives;sky blue;Kenyan Shilling robust;2023-09-15T03:04:19;25391;2023-09-15T03:17:45;24687
8;Moroccan Dirham;2023-09-15T09:18:00;30087;zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;2023-09-15T20:38:42;68070;2023-09-15T22:55:01;53093
9;Way Dominican Republic;2023-09-15T12:10:11;67213;navigate;Re-contextualized;web-enabled invoice withdrawal;2023-09-15T13:32:09;81643;2023-09-16T00:13:39;79834
10;Gloves Bedfordshire Argentine Peso;2023-09-15T05:47:38;59089;Algerian Dinar;firewall;Future-proofed deposit Sausages;2023-09-15T09:48:43;39757;2023-09-15T17:06:46;51775
